Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Historic%20Annual%20Recreation%20Visits%20(1904%20-%201979)

ParkName,UnitCode,ParkType,Region,State,Year,Total
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1934,"175,000"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1935,"89,355"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1936,"149,665"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1937,"111,840"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1938,"121,144"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1939,"112,626"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1940,"136,945"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1941,"110,830"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1942,"59,210"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1943,"13,520"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1944,"13,060"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1945,"23,271"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1946,"51,056"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1947,"60,323"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1948,"75,150"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1949,"89,793"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1950,"136,487"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1951,"169,999"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1952,"239,371"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1953,"260,764"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1954,"284,500"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1955,"235,000"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1956,"287,800"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1957,"287,500"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1958,"186,900"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1959,"353,700"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1960,"331,300"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1961,"297,500"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1962,"315,800"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1963,"293,400"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1964,"284,600"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1965,"371,600"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1966,"397,200"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1967,"403,700"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1968,"397,000"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1969,"555,300"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1970,"486,600"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1971,"489,300"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1972,"557,439"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1973,"522,800"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1974,"413,900"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1975,"406,500"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1976,"351,800"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1977,"396,600"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1978,"355,687"
Acadia NP,ACAD,National Park,Northeast ,ME,1919,"64,000"
Acadia NP,ACAD,National Park,Northeast ,ME,1920,"66,500"
Acadia NP,ACAD,National Park,Northeast ,ME,1921,"69,836"
Acadia NP,ACAD,National Park,Northeast ,ME,1922,"73,779"
Acadia NP,ACAD,National Park,Northeast ,ME,1923,"64,200"
Acadia NP,ACAD,National Park,Northeast ,ME,1924,"71,758"
Acadia NP,ACAD,National Park,Northeast ,ME,1925,"73,673"
Acadia NP,ACAD,National Park,Northeast ,ME,1926,"101,256"
Acadia NP,ACAD,National Park,Northeast ,ME,1927,"123,699"
Acadia NP,ACAD,National Park,Northeast ,ME,1928,"134,897"
Acadia NP,ACAD,National Park,Northeast ,ME,1929,"149,554"
Acadia NP,ACAD,National Park,Northeast ,ME,1930,"154,734"
Acadia NP,ACAD,National Park,Northeast ,ME,1931,"162,238"
Acadia NP,ACAD,National Park,Northeast ,ME,1932,"237,596"
Acadia NP,ACAD,National Park,Northeast ,ME,1933,"262,712"
Acadia NP,ACAD,National Park,Northeast ,ME,1934,"275,956"
Acadia NP,ACAD,National Park,Northeast ,ME,1935,"316,114"
Acadia NP,ACAD,National Park,Northeast ,ME,1936,"340,393"
Acadia NP,ACAD,National Park,Northeast ,ME,1937,"383,036"
Acadia NP,ACAD,National Park,Northeast ,ME,1938,"394,319"
Acadia NP,ACAD,National Park,Northeast ,ME,1939,"396,468"
Acadia NP,ACAD,National Park,Northeast ,ME,1940,"382,084"
Acadia NP,ACAD,National Park,Northeast ,ME,1941,"409,961"
Acadia NP,ACAD,National Park,Northeast ,ME,1942,"36,544"
Acadia NP,ACAD,National Park,Northeast ,ME,1943,"8,246"
Acadia NP,ACAD,National Park,Northeast ,ME,1944,"12,916"
Acadia NP,ACAD,National Park,Northeast ,ME,1945,"20,200"
Acadia NP,ACAD,National Park,Northeast ,ME,1946,"382,390"
Acadia NP,ACAD,National Park,Northeast ,ME,1947,"434,069"
Acadia NP,ACAD,National Park,Northeast ,ME,1948,"420,846"
Acadia NP,ACAD,National Park,Northeast ,ME,1949,"438,584"
Acadia NP,ACAD,National Park,Northeast ,ME,1950,"485,220"
Acadia NP,ACAD,National Park,Northeast ,ME,1951,"518,556"
Acadia NP,ACAD,National Park,Northeast ,ME,1952,"549,075"
Acadia NP,ACAD,National Park,Northeast ,ME,1953,"556,195"
