,ParkName,ParkType,State,Year,Month,RecVisitors2018,UnitCode,Gross Acres 2018,VisitorDensity2018,DailyAcreagePerVisitor2018,DailyVisitors2018
0,Acadia NP,National Park,ME,2018,1,11974,ACAD,49075.26,0.24399259399999998,127.05303669995821,386.258064516129
1,Acadia NP,National Park,ME,2018,2,12167,ACAD,49075.26,0.24792532899999997,112.9372303868154,434.5357142857143
2,Acadia NP,National Park,ME,2018,3,23756,ACAD,49075.26,0.48407283,64.03995035209887,766.3225806451613
3,Acadia NP,National Park,ME,2018,4,72858,ACAD,49075.26,1.484617708,20.207222262231024,2428.6
4,Acadia NP,National Park,ME,2018,5,249050,ACAD,49075.26,5.074858493,6.108544709721426,8033.870967741936
5,Acadia NP,National Park,ME,2018,6,499163,ACAD,49075.26,10.17137759,2.949452985551783,16638.766666666666
6,Acadia NP,National Park,ME,2018,7,759165,ACAD,49075.26,15.46940352,2.0039557414040488,24489.1935483871
7,Acadia NP,National Park,ME,2018,8,767219,ACAD,49075.26,15.6335188,1.9829189062669628,24749.0
8,Acadia NP,National Park,ME,2018,9,600397,ACAD,49075.26,12.23420925,2.45214050102993,20013.233333333334
9,Acadia NP,National Park,ME,2018,10,488204,ACAD,49075.26,9.948067519,3.1161831120257797,15748.516129032258
10,Acadia NP,National Park,ME,2018,11,40930,ACAD,49075.26,0.834025128,35.97013925940131,1364.3333333333333
11,Acadia NP,National Park,ME,2018,12,12692,ACAD,49075.26,0.258623184,119.86551058779014,409.4193548387097
12,African Burial Ground NM,National Monument,NY,2018,1,1172,AFBG,0.35,3348.571429,0.009257679179702515,37.806451612903224
13,African Burial Ground NM,National Monument,NY,2018,2,2067,AFBG,0.35,5905.714286,0.004741170778677253,73.82142857142857
14,African Burial Ground NM,National Monument,NY,2018,3,1569,AFBG,0.35,4482.857143,0.006915232632029469,50.61290322580645
15,African Burial Ground NM,National Monument,NY,2018,4,2781,AFBG,0.35,7945.714286,0.0037756202803388844,92.7
16,African Burial Ground NM,National Monument,NY,2018,5,6335,AFBG,0.35,18100.0,0.001712707182320442,204.3548387096774
17,African Burial Ground NM,National Monument,NY,2018,6,6432,AFBG,0.35,18377.14286,0.001632462686313361,214.4
18,African Burial Ground NM,National Monument,NY,2018,7,6146,AFBG,0.35,17560.0,0.0017653758542141228,198.25806451612902
19,African Burial Ground NM,National Monument,NY,2018,8,4031,AFBG,0.35,11517.14286,0.002691639790947249,130.03225806451613
20,African Burial Ground NM,National Monument,NY,2018,9,3527,AFBG,0.35,10077.14286,0.0029770343059322274,117.56666666666666
21,African Burial Ground NM,National Monument,NY,2018,10,8190,AFBG,0.35,23400.0,0.0013247863247863247,264.19354838709677
22,African Burial Ground NM,National Monument,NY,2018,11,1856,AFBG,0.35,5302.857143,0.00565732758605449,61.86666666666667
23,African Burial Ground NM,National Monument,NY,2018,12,929,AFBG,0.35,2654.285714,0.011679224974346524,29.967741935483872
24,Agate Fossil Beds NM,National Monument,NE,2018,1,76,AGFO,3057.87,0.024853902,1247.2890574687226,2.4516129032258065
25,Agate Fossil Beds NM,National Monument,NE,2018,2,96,AGFO,3057.87,0.031394402,891.8787495936377,3.4285714285714284
26,Agate Fossil Beds NM,National Monument,NE,2018,3,426,AGFO,3057.87,0.139312659,222.52105603698226,13.741935483870968
27,Agate Fossil Beds NM,National Monument,NE,2018,4,428,AGFO,3057.87,0.139966709,214.3366820177218,14.266666666666667
28,Agate Fossil Beds NM,National Monument,NE,2018,5,1876,AGFO,3057.87,0.613498939,50.5298347386384,60.516129032258064
29,Agate Fossil Beds NM,National Monument,NE,2018,6,3174,AGFO,3057.87,1.037977416,28.90236293927228,105.8
30,Agate Fossil Beds NM,National Monument,NE,2018,7,4192,AGFO,3057.87,1.3708888869999998,22.61306535779074,135.2258064516129
31,Agate Fossil Beds NM,National Monument,NE,2018,8,2459,AGFO,3057.87,0.8041545259999999,38.54980479212027,79.3225806451613
32,Agate Fossil Beds NM,National Monument,NE,2018,9,2249,AGFO,3057.87,0.7354792720000001,40.78972874166873,74.96666666666667
33,Agate Fossil Beds NM,National Monument,NE,2018,10,983,AGFO,3057.87,0.321465595,96.43333682411644,31.70967741935484
34,Agate Fossil Beds NM,National Monument,NE,2018,11,224,AGFO,3057.87,0.073253605,409.53615866413674,7.466666666666667
35,Agate Fossil Beds NM,National Monument,NE,2018,12,55,AGFO,3057.87,0.017986376000000002,1723.5267404617805,1.7741935483870968
36,Alibates Flint Quarries NM,National Monument,TX,2018,1,206,ALFL,1370.97,0.150258576,206.31101947884824,6.645161290322581
37,Alibates Flint Quarries NM,National Monument,TX,2018,2,222,ALFL,1370.97,0.161929145,172.91513519694064,7.928571428571429
38,Alibates Flint Quarries NM,National Monument,TX,2018,3,787,ALFL,1370.97,0.574046113,54.00263027301432,25.387096774193548
39,Alibates Flint Quarries NM,National Monument,TX,2018,4,723,ALFL,1370.97,0.527363837,56.88672202223832,24.1
40,Alibates Flint Quarries NM,National Monument,TX,2018,5,836,ALFL,1370.97,0.609787231,50.837404301107775,26.967741935483872
41,Alibates Flint Quarries NM,National Monument,TX,2018,6,814,ALFL,1370.97,0.593740199,50.527149838476745,27.133333333333333
42,Alibates Flint Quarries NM,National Monument,TX,2018,7,695,ALFL,1370.97,0.506940342,61.151179797010506,22.419354838709676
43,Alibates Flint Quarries NM,National Monument,TX,2018,8,870,ALFL,1370.97,0.63458719,48.85065517947187,28.06451612903226
44,Alibates Flint Quarries NM,National Monument,TX,2018,9,762,ALFL,1370.97,0.555810849,53.97519687493541,25.4
45,Alibates Flint Quarries NM,National Monument,TX,2018,10,900,ALFL,1370.97,0.6564695070000001,47.222299999381384,29.032258064516128
46,Alibates Flint Quarries NM,National Monument,TX,2018,11,400,ALFL,1370.97,0.291764225,102.82275011612545,13.333333333333334
47,Alibates Flint Quarries NM,National Monument,TX,2018,12,200,ALFL,1370.97,0.145882113,212.50034951166356,6.451612903225806
48,Amistad NRA,National Recreation Area,TX,2018,1,61853,AMIS,58500.0,1.0573162390000002,29.319515634527196,1995.258064516129
49,Amistad NRA,National Recreation Area,TX,2018,2,66915,AMIS,58500.0,1.143846154,24.47881640558456,2389.8214285714284
50,Amistad NRA,National Recreation Area,TX,2018,3,122355,AMIS,58500.0,2.091538462,14.821625594375517,3946.935483870968
51,Amistad NRA,National Recreation Area,TX,2018,4,122647,AMIS,58500.0,2.096529915,14.309359377779256,4088.233333333333
52,Amistad NRA,National Recreation Area,TX,2018,5,128543,AMIS,58500.0,2.197316239,14.108119464000373,4146.548387096775
53,Amistad NRA,National Recreation Area,TX,2018,6,110865,AMIS,58500.0,1.895128205,15.830063591924644,3695.5
54,Amistad NRA,National Recreation Area,TX,2018,7,130668,AMIS,58500.0,2.233641026,13.878684909147976,4215.096774193548
55,Amistad NRA,National Recreation Area,TX,2018,8,100470,AMIS,58500.0,1.7174358969999999,18.050164232709058,3240.967741935484
56,Amistad NRA,National Recreation Area,TX,2018,9,77633,AMIS,58500.0,1.327059829,22.606365850593463,2587.766666666667
57,Amistad NRA,National Recreation Area,TX,2018,10,69516,AMIS,58500.0,1.188307692,26.087519426744567,2242.451612903226
58,Amistad NRA,National Recreation Area,TX,2018,11,59782,AMIS,58500.0,1.02191453,29.356662538108736,1992.7333333333333
59,Amistad NRA,National Recreation Area,TX,2018,12,60523,AMIS,58500.0,1.034581197,29.96381539688856,1952.3548387096773
60,Aniakchak NM & PRES,National Monument,AK,2018,1,0,ANIA,601293.93,1e-06,601293.93,0.0
61,Aniakchak NM & PRES,National Monument,AK,2018,2,0,ANIA,601293.93,1e-06,601293.93,0.0
62,Aniakchak NM & PRES,National Monument,AK,2018,3,0,ANIA,601293.93,1e-06,601293.93,0.0
63,Aniakchak NM & PRES,National Monument,AK,2018,4,0,ANIA,601293.93,1e-06,601293.93,0.0
64,Aniakchak NM & PRES,National Monument,AK,2018,5,0,ANIA,601293.93,1e-06,601293.93,0.0
65,Aniakchak NM & PRES,National Monument,AK,2018,6,20,ANIA,601293.93,3.3299999999999996e-05,601293.93,0.6666666666666666
66,Aniakchak NM & PRES,National Monument,AK,2018,7,35,ANIA,601293.93,5.8200000000000005e-05,532646.0481099655,1.1290322580645162
67,Aniakchak NM & PRES,National Monument,AK,2018,8,35,ANIA,601293.93,5.8200000000000005e-05,532646.0481099655,1.1290322580645162
68,Aniakchak NM & PRES,National Monument,AK,2018,9,10,ANIA,601293.93,1.66e-05,601293.93,0.3333333333333333
69,Aniakchak NM & PRES,National Monument,AK,2018,10,0,ANIA,601293.93,1e-06,601293.93,0.0
70,Aniakchak NM & PRES,National Monument,AK,2018,11,0,ANIA,601293.93,1e-06,601293.93,0.0
71,Aniakchak NM & PRES,National Monument,AK,2018,12,0,ANIA,601293.93,1e-06,601293.93,0.0
72,Apostle Islands NL,National Lakeshore,WI,2018,1,3831,APIS,69377.43,0.055219687,561.3939825482893,123.58064516129032
73,Apostle Islands NL,National Lakeshore,WI,2018,2,4990,APIS,69377.43,0.07192540900000001,389.2921901910908,178.21428571428572
74,Apostle Islands NL,National Lakeshore,WI,2018,3,3461,APIS,69377.43,0.049886541,621.4100913510921,111.64516129032258
75,Apostle Islands NL,National Lakeshore,WI,2018,4,4234,APIS,69377.43,0.061028492999999996,491.57366543525825,141.13333333333333
76,Apostle Islands NL,National Lakeshore,WI,2018,5,16245,APIS,69377.43,0.23415396,132.39152564406768,524.0322580645161
77,Apostle Islands NL,National Lakeshore,WI,2018,6,33439,APIS,69377.43,0.481986721,62.242378665033804,1114.6333333333334
78,Apostle Islands NL,National Lakeshore,WI,2018,7,64317,APIS,69377.43,0.92705942,33.43906477968802,2074.7419354838707
79,Apostle Islands NL,National Lakeshore,WI,2018,8,66013,APIS,69377.43,0.95150541,32.57995138461693,2129.451612903226
80,Apostle Islands NL,National Lakeshore,WI,2018,9,34295,APIS,69377.43,0.49432502799999994,60.68881464767753,1143.1666666666667
81,Apostle Islands NL,National Lakeshore,WI,2018,10,14030,APIS,69377.43,0.20222715100000002,153.29296707542497,452.5806451612903
82,Apostle Islands NL,National Lakeshore,WI,2018,11,3201,APIS,69377.43,0.046138924000000005,650.2102216341239,106.7
83,Apostle Islands NL,National Lakeshore,WI,2018,12,4864,APIS,69377.43,0.070109256,442.16700859013537,156.90322580645162
84,Arches NP,National Park,UT,2018,1,31810,ARCH,76678.98,0.414846416,74.72645008942297,1026.1290322580646
85,Arches NP,National Park,UT,2018,2,40325,ARCH,76678.98,0.525893798,53.24268912560935,1440.1785714285713
86,Arches NP,National Park,UT,2018,3,134951,ARCH,76678.98,1.7599477719999999,17.614159063806586,4353.258064516129
87,Arches NP,National Park,UT,2018,4,167156,ARCH,76678.98,2.1799455340000002,13.761811720567508,5571.866666666667
88,Arches NP,National Park,UT,2018,5,215255,ARCH,76678.98,2.8072230489999996,11.042941532929827,6943.709677419355
89,Arches NP,National Park,UT,2018,6,214443,ARCH,76678.98,2.796633445,10.727183447525423,7148.1
90,Arches NP,National Park,UT,2018,7,205493,ARCH,76678.98,2.679913061,11.56753942922031,6628.806451612903
91,Arches NP,National Park,UT,2018,8,183840,ARCH,76678.98,2.39752798,12.929984658614913,5930.322580645161
92,Arches NP,National Park,UT,2018,9,206254,ARCH,76678.98,2.689837554,11.15308987912212,6875.133333333333
93,Arches NP,National Park,UT,2018,10,147996,ARCH,76678.98,1.930072622,16.06157180131225,4774.064516129032
94,Arches NP,National Park,UT,2018,11,74155,ARCH,76678.98,0.9670838079999999,31.021096363966837,2471.8333333333335
95,Arches NP,National Park,UT,2018,12,41879,ARCH,76678.98,0.5461601079999999,56.75991260789777,1350.9354838709678
96,Assateague Island NS,National Seashore,MD,2018,1,38769,ASIS,41346.5,0.937660987,33.060989451190636,1250.6129032258063
97,Assateague Island NS,National Seashore,MD,2018,2,44515,ASIS,41346.5,1.076632847,26.007008868455973,1589.8214285714287
98,Assateague Island NS,National Seashore,MD,2018,3,64349,ASIS,41346.5,1.5563348769999998,19.918592366031003,2075.7741935483873
99,Assateague Island NS,National Seashore,MD,2018,4,117990,ASIS,41346.5,2.853687737,10.512712940182494,3933.0
