,ParkName,ParkType,State,Year,Month,RecVisitors2018,UnitCode,Gross Acres 2018,VisitorDensity2018,DailyAcreagePerVisitor2018,DailyVisitors2018
0,Acadia NP,National Park,ME,2018,1,11974,ACAD,49075.26,0.243992594,127.05303669995821,386.258064516129
1,Acadia NP,National Park,ME,2018,2,12167,ACAD,49075.26,0.247925329,112.93723038681541,434.53571428571433
2,Acadia NP,National Park,ME,2018,3,23756,ACAD,49075.26,0.48407283,64.03995035209887,766.3225806451613
3,Acadia NP,National Park,ME,2018,4,72858,ACAD,49075.26,1.484617708,20.207222262231024,2428.6
4,Acadia NP,National Park,ME,2018,5,249050,ACAD,49075.26,5.074858493,6.108544709721426,8033.870967741936
5,Acadia NP,National Park,ME,2018,6,499163,ACAD,49075.26,10.17137759,2.9494529855517833,16638.766666666666
6,Acadia NP,National Park,ME,2018,7,759165,ACAD,49075.26,15.46940352,2.0039557414040488,24489.1935483871
7,Acadia NP,National Park,ME,2018,8,767219,ACAD,49075.26,15.6335188,1.9829189062669628,24749.0
8,Acadia NP,National Park,ME,2018,9,600397,ACAD,49075.26,12.23420925,2.45214050102993,20013.233333333334
9,Acadia NP,National Park,ME,2018,10,488204,ACAD,49075.26,9.948067519,3.11618311202578,15748.516129032258
10,Acadia NP,National Park,ME,2018,11,40930,ACAD,49075.26,0.834025128,35.970139259401314,1364.3333333333333
11,Acadia NP,National Park,ME,2018,12,12692,ACAD,49075.26,0.258623184,119.86551058779014,409.4193548387097
24,Agate Fossil Beds NM,National Monument,NE,2018,1,76,AGFO,3057.87,0.024853902,1247.2890574687226,2.4516129032258065
25,Agate Fossil Beds NM,National Monument,NE,2018,2,96,AGFO,3057.87,0.031394402,891.8787495936377,3.4285714285714284
26,Agate Fossil Beds NM,National Monument,NE,2018,3,426,AGFO,3057.87,0.139312659,222.52105603698223,13.741935483870966
27,Agate Fossil Beds NM,National Monument,NE,2018,4,428,AGFO,3057.87,0.139966709,214.3366820177218,14.266666666666667
28,Agate Fossil Beds NM,National Monument,NE,2018,5,1876,AGFO,3057.87,0.613498939,50.5298347386384,60.516129032258064
29,Agate Fossil Beds NM,National Monument,NE,2018,6,3174,AGFO,3057.87,1.037977416,28.90236293927228,105.8
30,Agate Fossil Beds NM,National Monument,NE,2018,7,4192,AGFO,3057.87,1.3708888869999998,22.613065357790738,135.22580645161293
31,Agate Fossil Beds NM,National Monument,NE,2018,8,2459,AGFO,3057.87,0.8041545259999999,38.54980479212028,79.3225806451613
32,Agate Fossil Beds NM,National Monument,NE,2018,9,2249,AGFO,3057.87,0.7354792720000001,40.789728741668725,74.96666666666667
33,Agate Fossil Beds NM,National Monument,NE,2018,10,983,AGFO,3057.87,0.321465595,96.43333682411644,31.70967741935484
34,Agate Fossil Beds NM,National Monument,NE,2018,11,224,AGFO,3057.87,0.073253605,409.5361586641368,7.466666666666668
35,Agate Fossil Beds NM,National Monument,NE,2018,12,55,AGFO,3057.87,0.017986376000000002,1723.5267404617805,1.7741935483870968
36,Alibates Flint Quarries NM,National Monument,TX,2018,1,206,ALFL,1370.97,0.150258576,206.31101947884827,6.645161290322582
37,Alibates Flint Quarries NM,National Monument,TX,2018,2,222,ALFL,1370.97,0.161929145,172.9151351969406,7.928571428571429
38,Alibates Flint Quarries NM,National Monument,TX,2018,3,787,ALFL,1370.97,0.574046113,54.00263027301432,25.387096774193548
39,Alibates Flint Quarries NM,National Monument,TX,2018,4,723,ALFL,1370.97,0.527363837,56.886722022238324,24.1
40,Alibates Flint Quarries NM,National Monument,TX,2018,5,836,ALFL,1370.97,0.609787231,50.83740430110778,26.967741935483872
41,Alibates Flint Quarries NM,National Monument,TX,2018,6,814,ALFL,1370.97,0.593740199,50.527149838476745,27.13333333333333
42,Alibates Flint Quarries NM,National Monument,TX,2018,7,695,ALFL,1370.97,0.506940342,61.1511797970105,22.41935483870968
43,Alibates Flint Quarries NM,National Monument,TX,2018,8,870,ALFL,1370.97,0.63458719,48.850655179471865,28.064516129032263
44,Alibates Flint Quarries NM,National Monument,TX,2018,9,762,ALFL,1370.97,0.555810849,53.975196874935406,25.4
45,Alibates Flint Quarries NM,National Monument,TX,2018,10,900,ALFL,1370.97,0.6564695070000001,47.22229999938138,29.032258064516128
46,Alibates Flint Quarries NM,National Monument,TX,2018,11,400,ALFL,1370.97,0.291764225,102.82275011612543,13.333333333333336
47,Alibates Flint Quarries NM,National Monument,TX,2018,12,200,ALFL,1370.97,0.145882113,212.5003495116636,6.451612903225807
48,Amistad NRA,National Recreation Area,TX,2018,1,61853,AMIS,58500.0,1.0573162390000002,29.319515634527196,1995.2580645161293
49,Amistad NRA,National Recreation Area,TX,2018,2,66915,AMIS,58500.0,1.143846154,24.47881640558456,2389.8214285714284
50,Amistad NRA,National Recreation Area,TX,2018,3,122355,AMIS,58500.0,2.091538462,14.821625594375515,3946.935483870968
51,Amistad NRA,National Recreation Area,TX,2018,4,122647,AMIS,58500.0,2.096529915,14.309359377779256,4088.233333333333
52,Amistad NRA,National Recreation Area,TX,2018,5,128543,AMIS,58500.0,2.197316239,14.108119464000373,4146.548387096775
53,Amistad NRA,National Recreation Area,TX,2018,6,110865,AMIS,58500.0,1.895128205,15.830063591924644,3695.5
54,Amistad NRA,National Recreation Area,TX,2018,7,130668,AMIS,58500.0,2.233641026,13.878684909147976,4215.096774193548
55,Amistad NRA,National Recreation Area,TX,2018,8,100470,AMIS,58500.0,1.717435897,18.050164232709054,3240.967741935484
