,states,latLong,description,designation,parkCode,id,directionsInfo,directionsUrl,fullName,url,weatherInfo,name
0,DC,"lat:38.916554, long:-77.025977","Over 200,000 African-American soldiers and sailors served in the U.S. Army and Navy during the Civil War. Their service helped to end the war and free over four million slaves. The African American Civil War Memorial honors their service and sacrifice.",,afam,1A47416F-DAA3-4137-9F30-14AF86B4E547,"The memorial is located at the corner of Vermont Avenue, 10th St, and U Street NW, near the U Street/African-American Civil War Memorial/Cardozo Metro Station.",http://www.nps.gov/afam/planyourvisit/directions.htm,African American Civil War Memorial,https://www.nps.gov/afam/index.htm,"Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter.

Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees

Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees

Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees

Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees

(Source: www.usclimatedata.com)",African American Civil War Memorial
1,GA,"lat:33.5099067687988, long:-82.0053787231445","The Augusta Canal helped usher the Industrial Revolution into the American South. Built in 1845 as a source of power, water, and transportation, the canal today is the only fully intact American industrial canal in continuous operation. By 1847 the first mills opened, followed by the massive Civil War era Confederate Powder Works and many more industries in the later decades of the 19th century.",National Heritage Area,auca,813548D1-F8EA-4C07-8878-17FB3C385378,"To Augusta Canal Discovery Center (1450 Greene Street, Augusta, GA  30901):
From I-20 Exit 200, turn left onto GA-104/Riverwatch Parkway (signs for Downtown Augusta). In approximately 4.5 miles, use the right lane to take the ramp to Downtown Augusta/Medical District. Continue straight onto Greene Street. Continue for approximately 0.4 miles. Enterprise Mill and the Discovery Center will be on your right.",http://augustacanal.com/directions.php,Augusta Canal National Heritage Area,https://www.nps.gov/auca/index.htm,The weather varies throughout the year and even throughout the day. Please check the National Weather Service information at http://www.weather.gov for forecast information.,Augusta Canal
2,DC,"lat:38.89231541, long:-77.00381882","Home to the National Woman's Party for nearly 90 years, this was the epicenter of the struggle for women's rights. From this house in the shadow of the U.S. Capitol and Supreme Court, Alice Paul and the NWP developed innovative strategies and tactics to advocate for the Equal Rights Amendment and equality for women. President Barack Obama designated the national monument on April 12, 2016.",National Monument,bepa,E7E4E103-5FA9-45AC-8843-05DE554CDBB7,"The Belmont-Paul Women's Equality NM is located on Capitol Hill at the corner of Constitution Avenue and 2nd Street, NE, next to the Hart Senate Office building. It is a free-standing, federal style brick house surrounded by a black cast-iron fence.
The entrance for museum tours and the museum shop is located on 2nd Street with the lift accessible entrance located to the side of the museum next to the Hart Senate Office Building. The doors facing Constitution Avenue are not entrances.",http://www.nps.gov/bepa/planyourvisit/directions.htm,Belmont-Paul Women's Equality National Monument,https://www.nps.gov/bepa/index.htm,Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter. Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees (Source: www.usclimatedata.com),Belmont-Paul Women's Equality
3,FL,"lat:25.97079602, long:-81.08120629","The freshwaters of the Big Cypress Swamp, essential to the health of the neighboring Everglades, support the rich marine estuaries along Florida's southwest coast. Protecting over 729,000 acres of this vast swamp, Big Cypress National Preserve contains a mixture of tropical and temperate plant communities that are home to a diversity of wildlife, including the elusive Florida panther.",National Preserve,bicy,E0F4D5E3-3E4A-4345-B86A-1B0CAD7461F1,Big Cypress is located along the Tamiami Trail East and I-75 in southern Florida.  The preserve can be accessed by driving from Miami and Naples. The preserves two visitor centers are located along Tamiami Trail East.,http://www.nps.gov/bicy/planyourvisit/directions.htm,Big Cypress National Preserve,https://www.nps.gov/bicy/index.htm,"Big Cypress National Preserve experiences two predominant seasons- wet and dry.

RAINY SEASON
(May through October)
While visiting during this season you may find daily afternoon thunderstorms, high humidity, temperatures in the mid - to - high 80s and a multitude of mosquitoes. 

DRY SEASON
(November through April)
Falling water levels within the Big Cypress make this a pleasant time to hike, camp, and watch wildlife.

For more information visit http://www.nps.gov/bicy/planyourvisit/weather.htm",Big Cypress
4,UT,"lat:37.58399144, long:-112.1826689","Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description.",National Park,brca,6B1D053D-714F-46D1-B410-04BE868F14C1,"From the North:
Take I-15 south to UT-20 (exit 95). Travel east on UT-20 to US-89. Follow US-89 south to UT-12. Travel east on UT-12 to UT-63. Take UT-63 south to Bryce Canyon National Park.

From the South through Zion National Park:
Take I-15 north to UT-9 (exit 16). Follow UT-9 east through Zion National Park to US-89. Travel north on US-89 to UT-12. Go east on UT-12 to UT-63. Take UT-63 south to Bryce Canyon National Park.",http://www.nps.gov/brca/planyourvisit/directions.htm,Bryce Canyon National Park,https://www.nps.gov/brca/index.htm,"Due of its high elevation climate, weather at Bryce Canyon through autumn, winter, and spring can be highly variable. From October to May temperatures fall below freezing nearly every night. The park typically experiences its coldest and snowiest periods from December through February. Spring storms in March and April can still produce heavy snowfall that may impact travel in the region. Summer highs are typically in the 70s-80s F and afternoon thunderstorms are common in July and August.",Bryce Canyon
5,KY,,"Established as a Union supply depot and hospital during the Civil War, Camp Nelson became a recruitment and training center for African American soldiers, and a refugee camp for their wives and children. Thousands of slaves risked their lives escaping to this site with the hope of securing their freedom and, ultimately, controlling their futures by aiding in the destruction of slavery.",National Monument,cane,2FB7A664-0F66-49A3-9460-194F4073BA3F,"Camp Nelson National Monument is located along US 27 about 20 miles south of Lexington, Kentucky, 6 miles south of Nicholasville on US 27, and 7.5 miles southeast of Wilmore along US 1268. The Park entrance is on the original Danville Pike, adjacent to US 27, one mile north of the Camp Nelson National Cemetery.",http://www.nps.gov/cane/planyourvisit/directions.htm,Camp Nelson National Monument,https://www.nps.gov/cane/index.htm,"Kentucky has a moderate climate, characterized by warm, yet moist conditions. Summers are usually warm, and winters cool. Kentucky's weather patterns are influenced by the Gulf of Mexico, especially during summer. Spring and summer are the rainiest seasons, though storms occur year-round. Most storms occur between March and September.",Camp Nelson
6,MA,"lat:41.92381465, long:-70.04319832","The great Outer Beach described by Thoreau in the 1800s is protected within the national seashore. Forty miles of pristine sandy beach, marshes, ponds, and uplands support diverse species. Lighthouses, cultural landscapes, and wild cranberry bogs offer a glimpse of Cape Cod's past and continuing ways of life. Swimming beaches and walking and biking trails beckon today's visitors.",National Seashore,caco,DE0A8012-5324-4F5C-98DA-0EE6589FDFB3,"The national seashore is located in eastern Massachusetts and is accessed via Rt. 6. The park is 20 miles east of Hyannis, MA.",http://www.nps.gov/caco/planyourvisit/directions.htm,Cape Cod National Seashore,https://www.nps.gov/caco/index.htm,Cape Cod's weather is generally moderated by its proximity to the ocean. Winter is typically cold with some snow. Spring is often rainy. Summer is usually warm and humid. Fall is generally dry and clear.,Cape Cod
7,SC,"lat:32.84577392, long:-79.82487582","Charles Pinckney was a principal author and signer of the United States Constitution. This remnant of his coastal plantation is preserved to tell the story of a ""founding father,"" his life of public service, the lives of enslaved African Americans on South Carolina Lowcountry plantations and their influences on Charles Pinckney.",National Historic Site,chpi,08EFF7E4-0FE4-4402-B23A-124EB8AAC249,"The park is located on the south side of Long Point Road .7 miles from US Highway 17, or 3 miles if coming from I-526.",http://www.nps.gov/chpi/planyourvisit/directions.htm,Charles Pinckney National Historic Site,https://www.nps.gov/chpi/index.htm,Winters are generally mild. Summers are hot and humid.,Charles Pinckney
8,OH,"lat:41.26093905, long:-81.57116722","Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors. The winding Cuyahoga River gives way to deep forests, rolling hills, and open farmlands. Walk or ride the Towpath Trail to follow the historic route of the Ohio & Erie Canal.",National Park,cuva,F4D44F29-3F67-498F-B05B-0783473D2708,"Plane
Cleveland Hopkins International Airport and Akron-Canton Regional Airport offer many daily flights to the area. Car rentals are available at both airports.

Bus & Train
Bus stations are located in downtown Cleveland and Akron. The Amtrak station is in downtown Cleveland.

Car
The park is easily accessible by car from all directions. A good place to start your visit is at Boston Mill Visitor Center located at 6947 Riverview Road, Peninsula, Ohio 44264. (41° 15'45.3"" N) (81° 33'37.3"" W).",http://www.nps.gov/cuva/planyourvisit/directions.htm,Cuyahoga Valley National Park,https://www.nps.gov/cuva/index.htm,"Spring's rain and warming temperatures bring new leaves on trees, blooming wildflowers, and visitors anxious get out on the trail. 

Summer temperatures range from 49 to 95 degrees F and can be humid. Dressing in layers is advisable. 

Fall temperatures can range from low 70s during the day to freezing during the night. Fall foliage often peaks in mid-October.

Winter weather conditions can rapidly change, due to the lake effect snow from Lake Erie. Temperatures vary from mid-30s to below zero.",Cuyahoga Valley
9,FL,"lat:24.628741, long:-82.87319","Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands.  Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area.",National Park,drto,167A05D1-5793-49E0-89FE-0A1DDFA9A7F4,"Dry Tortugas National Park is one of the most remote parks in the National Park System. Located approximately 70 miles west of Key West it is accessible only by a daily concession ferry, private boats, charter boats, or seaplane.",http://www.nps.gov/drto/planyourvisit/directions.htm,Dry Tortugas National Park,https://www.nps.gov/drto/index.htm,"The climate in the Dry Tortugas is subtropical, which basically means that it has warm and tropical weather in the range of 60°F to 90°F. The two main seasons are the winter stormy season from December through March which is windier and sees rougher seas, and the summertime tropical storm season from June through November where there is a higher chance of isolated storms. During the summers it is hot and humid. During the winter the temperature is milder and drier.",Dry Tortugas
