,ParkName,UnitCode,ParkType,Year,Month,TrafficCount,CountLocation,latitude,longitude,TrafficCountDay,CountID
144806,Acadia NP,ACAD,National Park,2018,1,2576,SAND BEACH,44.3292049,-68.181973,83.09677419,22
144807,Acadia NP,ACAD,National Park,2018,2,2713,SAND BEACH,44.3292049,-68.181973,96.89285714,22
144808,Acadia NP,ACAD,National Park,2018,3,4490,SAND BEACH,44.3292049,-68.181973,144.83870969999998,22
144809,Acadia NP,ACAD,National Park,2018,4,9300,SAND BEACH,44.3292049,-68.181973,310.0,22
144810,Acadia NP,ACAD,National Park,2018,5,28645,SAND BEACH,44.3292049,-68.181973,924.0322581,22
144811,Acadia NP,ACAD,National Park,2018,6,52604,SAND BEACH,44.3292049,-68.181973,1753.4666670000001,22
144812,Acadia NP,ACAD,National Park,2018,7,75831,SAND BEACH,44.3292049,-68.181973,2446.16129,22
144813,Acadia NP,ACAD,National Park,2018,8,76602,SAND BEACH,44.3292049,-68.181973,2471.0322579999997,22
144814,Acadia NP,ACAD,National Park,2018,9,62366,SAND BEACH,44.3292049,-68.181973,2078.8666670000002,22
144815,Acadia NP,ACAD,National Park,2018,10,47341,SAND BEACH,44.3292049,-68.181973,1527.129032,22
144816,Acadia NP,ACAD,National Park,2018,11,5195,SAND BEACH,44.3292049,-68.181973,173.16666669999998,22
144817,Acadia NP,ACAD,National Park,2018,12,2859,SAND BEACH,44.3292049,-68.181973,92.22580645,22
144866,Acadia NP,ACAD,National Park,2018,1,1950,SCHOODIC,44.366747100000005,-68.05806109999999,62.90322581,23
144867,Acadia NP,ACAD,National Park,2018,2,1800,SCHOODIC,44.366747100000005,-68.05806109999999,64.28571429,23
144868,Acadia NP,ACAD,National Park,2018,3,2600,SCHOODIC,44.366747100000005,-68.05806109999999,83.87096774,23
144869,Acadia NP,ACAD,National Park,2018,4,3300,SCHOODIC,44.366747100000005,-68.05806109999999,110.0,23
144870,Acadia NP,ACAD,National Park,2018,5,8144,SCHOODIC,44.366747100000005,-68.05806109999999,262.70967740000003,23
144871,Acadia NP,ACAD,National Park,2018,6,15733,SCHOODIC,44.366747100000005,-68.05806109999999,524.4333333000001,23
144872,Acadia NP,ACAD,National Park,2018,7,23940,SCHOODIC,44.366747100000005,-68.05806109999999,772.2580644999999,23
144873,Acadia NP,ACAD,National Park,2018,8,23940,SCHOODIC,44.366747100000005,-68.05806109999999,772.2580644999999,23
144874,Acadia NP,ACAD,National Park,2018,9,16062,SCHOODIC,44.366747100000005,-68.05806109999999,535.4,23
144875,Acadia NP,ACAD,National Park,2018,10,10168,SCHOODIC,44.366747100000005,-68.05806109999999,328.0,23
144876,Acadia NP,ACAD,National Park,2018,11,2750,SCHOODIC,44.366747100000005,-68.05806109999999,91.66666667,23
144877,Acadia NP,ACAD,National Park,2018,12,1800,SCHOODIC,44.366747100000005,-68.05806109999999,58.06451613,23
144926,Amistad NRA,AMIS,National Recreation Area,2018,1,1463,BLACK BRUSH POINT,29.4744412,-100.9860561,47.19354839,24
144927,Amistad NRA,AMIS,National Recreation Area,2018,2,1527,BLACK BRUSH POINT,29.4744412,-100.9860561,54.53571429,24
144928,Amistad NRA,AMIS,National Recreation Area,2018,3,3465,BLACK BRUSH POINT,29.4744412,-100.9860561,111.77419350000001,24
144929,Amistad NRA,AMIS,National Recreation Area,2018,4,2945,BLACK BRUSH POINT,29.4744412,-100.9860561,98.16666667,24
144930,Amistad NRA,AMIS,National Recreation Area,2018,5,2673,BLACK BRUSH POINT,29.4744412,-100.9860561,86.22580645,24
144931,Amistad NRA,AMIS,National Recreation Area,2018,6,2529,BLACK BRUSH POINT,29.4744412,-100.9860561,84.3,24
144932,Amistad NRA,AMIS,National Recreation Area,2018,7,2504,BLACK BRUSH POINT,29.4744412,-100.9860561,80.77419355,24
144933,Amistad NRA,AMIS,National Recreation Area,2018,8,1067,BLACK BRUSH POINT,29.4744412,-100.9860561,34.41935484,24
144934,Amistad NRA,AMIS,National Recreation Area,2018,9,923,BLACK BRUSH POINT,29.4744412,-100.9860561,30.76666667,24
144935,Amistad NRA,AMIS,National Recreation Area,2018,10,1316,BLACK BRUSH POINT,29.4744412,-100.9860561,42.45161289999999,24
144936,Amistad NRA,AMIS,National Recreation Area,2018,11,1371,BLACK BRUSH POINT,29.4744412,-100.9860561,45.7,24
144937,Amistad NRA,AMIS,National Recreation Area,2018,12,1719,BLACK BRUSH POINT,29.4744412,-100.9860561,55.45161289999999,24
144986,Amistad NRA,AMIS,National Recreation Area,2018,1,2100,BOX CANYON,29.523554999999998,-101.1532421,67.74193548,25
144987,Amistad NRA,AMIS,National Recreation Area,2018,2,2857,BOX CANYON,29.523554999999998,-101.1532421,102.0357143,25
144988,Amistad NRA,AMIS,National Recreation Area,2018,3,6688,BOX CANYON,29.523554999999998,-101.1532421,215.7419355,25
144989,Amistad NRA,AMIS,National Recreation Area,2018,4,6202,BOX CANYON,29.523554999999998,-101.1532421,206.7333333,25
144990,Amistad NRA,AMIS,National Recreation Area,2018,5,5469,BOX CANYON,29.523554999999998,-101.1532421,176.4193548,25
144991,Amistad NRA,AMIS,National Recreation Area,2018,6,4191,BOX CANYON,29.523554999999998,-101.1532421,139.7,25
144992,Amistad NRA,AMIS,National Recreation Area,2018,7,5559,BOX CANYON,29.523554999999998,-101.1532421,179.32258059999998,25
144993,Amistad NRA,AMIS,National Recreation Area,2018,8,3918,BOX CANYON,29.523554999999998,-101.1532421,126.3870968,25
144994,Amistad NRA,AMIS,National Recreation Area,2018,9,5195,BOX CANYON,29.523554999999998,-101.1532421,173.16666669999998,25
144995,Amistad NRA,AMIS,National Recreation Area,2018,10,3907,BOX CANYON,29.523554999999998,-101.1532421,126.0322581,25
144996,Amistad NRA,AMIS,National Recreation Area,2018,11,2559,BOX CANYON,29.523554999999998,-101.1532421,85.3,25
144997,Amistad NRA,AMIS,National Recreation Area,2018,12,2600,BOX CANYON,29.523554999999998,-101.1532421,83.87096774,25
145046,Amistad NRA,AMIS,National Recreation Area,2018,1,3955,DIABLO EAST,29.4778891,-101.01669,127.5806452,26
145047,Amistad NRA,AMIS,National Recreation Area,2018,2,3045,DIABLO EAST,29.4778891,-101.01669,108.75,26
145048,Amistad NRA,AMIS,National Recreation Area,2018,3,6596,DIABLO EAST,29.4778891,-101.01669,212.7741935,26
145049,Amistad NRA,AMIS,National Recreation Area,2018,4,6184,DIABLO EAST,29.4778891,-101.01669,206.1333333,26
145050,Amistad NRA,AMIS,National Recreation Area,2018,5,6615,DIABLO EAST,29.4778891,-101.01669,213.38709680000002,26
145051,Amistad NRA,AMIS,National Recreation Area,2018,6,5953,DIABLO EAST,29.4778891,-101.01669,198.43333330000002,26
145052,Amistad NRA,AMIS,National Recreation Area,2018,7,5987,DIABLO EAST,29.4778891,-101.01669,193.1290323,26
145053,Amistad NRA,AMIS,National Recreation Area,2018,8,4685,DIABLO EAST,29.4778891,-101.01669,151.1290323,26
145054,Amistad NRA,AMIS,National Recreation Area,2018,9,4350,DIABLO EAST,29.4778891,-101.01669,145.0,26
145055,Amistad NRA,AMIS,National Recreation Area,2018,10,3998,DIABLO EAST,29.4778891,-101.01669,128.9677419,26
145056,Amistad NRA,AMIS,National Recreation Area,2018,11,3032,DIABLO EAST,29.4778891,-101.01669,101.0666667,26
145057,Amistad NRA,AMIS,National Recreation Area,2018,12,3673,DIABLO EAST,29.4778891,-101.01669,118.483871,26
145106,Amistad NRA,AMIS,National Recreation Area,2018,1,1420,GOVERNORS LANDING,29.4788825,-101.028699,45.80645161,27
145107,Amistad NRA,AMIS,National Recreation Area,2018,2,1516,GOVERNORS LANDING,29.4788825,-101.028699,54.14285714,27
145108,Amistad NRA,AMIS,National Recreation Area,2018,3,3862,GOVERNORS LANDING,29.4788825,-101.028699,124.5806452,27
145109,Amistad NRA,AMIS,National Recreation Area,2018,4,2747,GOVERNORS LANDING,29.4788825,-101.028699,91.56666667,27
145110,Amistad NRA,AMIS,National Recreation Area,2018,5,3465,GOVERNORS LANDING,29.4788825,-101.028699,111.77419350000001,27
145111,Amistad NRA,AMIS,National Recreation Area,2018,6,3854,GOVERNORS LANDING,29.4788825,-101.028699,128.46666670000002,27
