Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,1,"9,410",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,2,"10,781",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,3,"12,377",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,4,"11,386",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,5,"1,060",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,6,"16,855",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,7,"17,662",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,8,"14,223",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,9,"16,863",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,10,"14,608",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,11,"14,502",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,12,"15,125",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),1988,"154,852"
