,ParkName,ParkType,Region,State,Year,Month,RecVisitors2018,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,UnitCode,Gross Acres 2018,VisitorDensity2018
0,Acadia NP,National Park,Northeast ,ME,2018,1,11974,600,79026,600,0,0,0,0,0,0,ACAD,49075.26,0.243992594
1,Acadia NP,National Park,Northeast ,ME,2018,2,12167,600,80301,600,0,0,0,0,0,0,ACAD,49075.26,0.247925329
2,Acadia NP,National Park,Northeast ,ME,2018,3,23756,600,156790,600,0,0,0,0,0,0,ACAD,49075.26,0.48407283
3,Acadia NP,National Park,Northeast ,ME,2018,4,72858,600,421428,600,0,0,0,0,0,0,ACAD,49075.26,1.484617708
4,Acadia NP,National Park,Northeast ,ME,2018,5,249050,7500,1854392,7500,0,25,11325,3912,126,0,ACAD,49075.26,5.074858493
5,Acadia NP,National Park,Northeast ,ME,2018,6,499163,7500,3861197,7500,0,296,25626,10479,323,0,ACAD,49075.26,10.17137759
6,Acadia NP,National Park,Northeast ,ME,2018,7,759165,7500,5119628,7500,0,188,37218,12723,345,0,ACAD,49075.26,15.46940352
7,Acadia NP,National Park,Northeast ,ME,2018,8,767219,7500,5175840,7500,0,370,37923,12579,345,0,ACAD,49075.26,15.6335188
8,Acadia NP,National Park,Northeast ,ME,2018,9,600397,7500,3885466,7500,0,485,25128,14097,271,0,ACAD,49075.26,12.23420925
9,Acadia NP,National Park,Northeast ,ME,2018,10,488204,6000,2657950,6000,0,0,7524,4425,62,0,ACAD,49075.26,9.948067519
10,Acadia NP,National Park,Northeast ,ME,2018,11,40930,600,245582,600,0,0,0,0,0,0,ACAD,49075.26,0.834025128
11,Acadia NP,National Park,Northeast ,ME,2018,12,12692,600,76154,600,0,0,0,0,0,0,ACAD,49075.26,0.258623184
12,African Burial Ground NM,National Monument,Northeast ,NY,2018,1,1172,0,1172,0,0,0,0,0,0,0,AFBG,0.35,3348.571429
13,African Burial Ground NM,National Monument,Northeast ,NY,2018,2,2067,0,2067,0,0,0,0,0,0,0,AFBG,0.35,5905.714286
14,African Burial Ground NM,National Monument,Northeast ,NY,2018,3,1569,0,1569,0,0,0,0,0,0,0,AFBG,0.35,4482.857143
15,African Burial Ground NM,National Monument,Northeast ,NY,2018,4,2781,0,2579,0,0,0,0,0,0,0,AFBG,0.35,7945.714286
16,African Burial Ground NM,National Monument,Northeast ,NY,2018,5,6335,0,4077,0,0,0,0,0,0,0,AFBG,0.35,18100
17,African Burial Ground NM,National Monument,Northeast ,NY,2018,6,6432,0,4081,0,0,0,0,0,0,0,AFBG,0.35,18377.14286
18,African Burial Ground NM,National Monument,Northeast ,NY,2018,7,6146,0,3922,0,0,0,0,0,0,0,AFBG,0.35,17560
19,African Burial Ground NM,National Monument,Northeast ,NY,2018,8,4031,0,2613,0,0,0,0,0,0,0,AFBG,0.35,11517.14286
20,African Burial Ground NM,National Monument,Northeast ,NY,2018,9,3527,0,2257,0,0,0,0,0,0,0,AFBG,0.35,10077.14286
21,African Burial Ground NM,National Monument,Northeast ,NY,2018,10,8190,0,5415,0,0,0,0,0,0,0,AFBG,0.35,23400
22,African Burial Ground NM,National Monument,Northeast ,NY,2018,11,1856,0,1856,0,0,0,0,0,0,0,AFBG,0.35,5302.857143
23,African Burial Ground NM,National Monument,Northeast ,NY,2018,12,929,0,929,0,0,0,0,0,0,0,AFBG,0.35,2654.285714
24,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,1,76,0,141,0,0,0,0,0,0,0,AGFO,3057.87,0.024853902
25,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,2,96,0,200,0,0,0,0,0,0,0,AGFO,3057.87,0.031394402
26,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,3,426,0,955,0,0,0,0,0,0,0,AGFO,3057.87,0.139312659
27,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,4,428,0,942,0,0,0,0,0,0,0,AGFO,3057.87,0.139966709
28,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,5,1876,0,5008,0,0,0,0,0,0,0,AGFO,3057.87,0.613498939
29,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,6,3174,0,7668,0,0,0,0,0,0,0,AGFO,3057.87,1.037977416
30,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,7,4192,0,9686,0,0,0,0,0,0,0,AGFO,3057.87,1.370888887
31,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,8,2459,0,6246,0,0,0,0,0,0,0,AGFO,3057.87,0.804154526
32,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,9,2249,0,5281,0,0,0,0,0,0,0,AGFO,3057.87,0.735479272
33,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,10,983,0,2133,0,0,0,0,0,0,0,AGFO,3057.87,0.321465595
34,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,11,224,0,512,0,0,0,0,0,0,0,AGFO,3057.87,0.073253605
35,Agate Fossil Beds NM,National Monument,Midwest ,NE,2018,12,55,0,112,0,0,0,0,0,0,0,AGFO,3057.87,0.017986376
36,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,1,206,0,515,0,0,0,0,0,0,0,ALFL,1370.97,0.150258576
37,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,2,222,0,555,0,0,0,0,0,0,0,ALFL,1370.97,0.161929145
38,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,3,787,0,1968,0,0,0,0,0,0,0,ALFL,1370.97,0.574046113
39,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,4,723,0,1808,0,0,0,0,0,0,0,ALFL,1370.97,0.527363837
40,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,5,836,0,2090,0,0,0,0,0,0,0,ALFL,1370.97,0.609787231
41,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,6,814,0,2035,0,0,0,0,0,0,0,ALFL,1370.97,0.593740199
42,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,7,695,0,1738,0,0,0,0,0,0,0,ALFL,1370.97,0.506940342
43,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,8,870,0,2175,0,0,0,0,0,0,0,ALFL,1370.97,0.63458719
44,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,9,762,0,1905,0,0,0,0,0,0,0,ALFL,1370.97,0.555810849
45,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,10,900,0,2250,0,0,0,0,0,0,0,ALFL,1370.97,0.656469507
46,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,11,400,0,1000,0,0,0,0,0,0,0,ALFL,1370.97,0.291764225
47,Alibates Flint Quarries NM,National Monument,Intermountain ,TX,2018,12,200,0,500,0,0,0,0,0,0,0,ALFL,1370.97,0.145882113
48,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,1,61853,94,452308,94,0,0,0,725,0,0,AMIS,58500,1.057316239
49,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,2,66915,94,488480,94,0,0,0,985,0,0,AMIS,58500,1.143846154
50,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,3,122355,94,893775,94,0,0,0,1675,0,0,AMIS,58500,2.091538462
51,Amistad NRA,National Recreation Area,Intermountain ,TX,2018,4,122647,94,895322,94,0,0,0,628,0,0,AMIS,58500,2.096529915
